sampling_interval_ms,lag,lag_ms,ccf_value
500,-20,-10000,-0.003437
500,-19,-9500,-0.001853
500,-18,-9000,-0.003695
500,-17,-8500,-0.000212
500,-16,-8000,0.004462
500,-15,-7500,0.004491
500,-14,-7000,-0.000931
500,-13,-6500,-0.001687
500,-12,-6000,0.002918
500,-11,-5500,0.003416
500,-10,-5000,0.000642
500,-9,-4500,0.003353
500,-8,-4000,0.008711
500,-7,-3500,0.017957
500,-6,-3000,0.016515
500,-5,-2500,0.011804
500,-4,-2000,0.028804
500,-3,-1500,0.029347
500,-2,-1000,0.069789
500,-1,-500,0.175975
500,0,0,0.660034
500,1,500,0.097403
500,2,1000,0.040536
500,3,1500,0.014445
500,4,2000,0.024981
500,5,2500,0.002329
500,6,3000,0.013107
500,7,3500,0.011999
500,8,4000,0.006827
500,9,4500,-0.000493
500,10,5000,0.003084
500,11,5500,0.004146
500,12,6000,-0.006153
500,13,6500,-0.003717
500,14,7000,0.00278
500,15,7500,-0.003305
500,16,8000,0.002766
500,17,8500,-0.007281
500,18,9000,0.002706
500,19,9500,-0.004102
500,20,10000,-0.003191
1000,-20,-20000,0.00562
1000,-19,-19000,0.005804
1000,-18,-18000,0.005431
1000,-17,-17000,0.010906
1000,-16,-16000,-0.00406
1000,-15,-15000,-0.007359
1000,-14,-14000,-0.001873
1000,-13,-13000,-0.008107
1000,-12,-12000,-0.004203
1000,-11,-11000,-0.001816
1000,-10,-10000,-0.004558
1000,-9,-9000,-0.006671
1000,-8,-8000,0.001903
1000,-7,-7000,0.002975
1000,-6,-6000,0.003048
1000,-5,-5000,0.004126
1000,-4,-4000,0.017804
1000,-3,-3000,0.024765
1000,-2,-2000,0.047459
1000,-1,-1000,0.157201
1000,0,0,0.718751
1000,1,1000,0.084974
1000,2,2000,0.031293
1000,3,3000,0.020096
1000,4,4000,0.009227
1000,5,5000,0.007845
1000,6,6000,-0.00692
1000,7,7000,0.00157
1000,8,8000,-0.007645
1000,9,9000,0.000405
1000,10,10000,-0.006588
1000,11,11000,0.002464
1000,12,12000,-0.006386
1000,13,13000,-0.012185
1000,14,14000,0.003575
1000,15,15000,-0.012577
1000,16,16000,-0.001613
1000,17,17000,0.011429
1000,18,18000,0.006186
1000,19,19000,0.002169
1000,20,20000,0.003172
2000,-20,-40000,0.001017
2000,-19,-38000,-0.000495
2000,-18,-36000,0.004481
2000,-17,-34000,-0.002212
2000,-16,-32000,0.003984
2000,-15,-30000,-0.004814
2000,-14,-28000,0.006278
2000,-13,-26000,0.000791
2000,-12,-24000,0.015759
2000,-11,-22000,0.008548
2000,-10,-20000,0.015767
2000,-9,-18000,0.005703
2000,-8,-16000,0.000111
2000,-7,-14000,-0.008268
2000,-6,-12000,-0.013132
2000,-5,-10000,-0.001693
2000,-4,-8000,0.001489
2000,-3,-6000,0.004211
2000,-2,-4000,0.028183
2000,-1,-2000,0.127697
2000,0,0,0.763174
2000,1,2000,0.078714
2000,2,4000,0.02188
2000,3,6000,-0.008005
2000,4,8000,-0.000135
2000,5,10000,-0.004755
2000,6,12000,-0.009643
2000,7,14000,-0.008183
2000,8,16000,-9.2e-05
2000,9,18000,0.003253
2000,10,20000,0.008575
2000,11,22000,0.008728
2000,12,24000,0.007016
2000,13,26000,-0.000782
2000,14,28000,-0.000337
2000,15,30000,0.004764
2000,16,32000,0.004381
2000,17,34000,6e-06
2000,18,36000,0.003094
2000,19,38000,0.004005
2000,20,40000,-0.001851
5000,-20,-100000,0.007334
5000,-19,-95000,-0.009626
5000,-18,-90000,-0.013296
5000,-17,-85000,-0.000251
5000,-16,-80000,0.004806
5000,-15,-75000,-0.0081
5000,-14,-70000,-0.002507
5000,-13,-65000,0.007567
5000,-12,-60000,-0.011372
5000,-11,-55000,-0.028596
5000,-10,-50000,-0.011199
5000,-9,-45000,0.00842
5000,-8,-40000,0.013954
5000,-7,-35000,-0.003753
5000,-6,-30000,0.000104
5000,-5,-25000,0.013022
5000,-4,-20000,0.037552
5000,-3,-15000,-0.012101
5000,-2,-10000,-0.015998
5000,-1,-5000,0.073047
5000,0,0,0.807661
5000,1,5000,0.045347
5000,2,10000,-0.01474
5000,3,15000,-0.016958
5000,4,20000,0.023645
5000,5,25000,0.009554
5000,6,30000,0.004011
5000,7,35000,-0.000129
5000,8,40000,0.00734
5000,9,45000,-0.007806
5000,10,50000,-0.007828
5000,11,55000,-0.011683
5000,12,60000,-0.02121
5000,13,65000,-0.006199
5000,14,70000,0.003778
5000,15,75000,-0.00372
5000,16,80000,0.003995
5000,17,85000,0.001322
5000,18,90000,-0.0108
5000,19,95000,-0.005295
5000,20,100000,0.009586
10000,-20,-200000,0.011997
10000,-19,-190000,-0.008331
10000,-18,-180000,0.024833
10000,-17,-170000,-0.011918
10000,-16,-160000,0.013356
10000,-15,-150000,-0.001529
10000,-14,-140000,0.005889
10000,-13,-130000,-0.011872
10000,-12,-120000,0.002064
10000,-11,-110000,-0.005504
10000,-10,-100000,-0.006973
10000,-9,-90000,-0.020047
10000,-8,-80000,0.007624
10000,-7,-70000,-0.010875
10000,-6,-60000,-0.018713
10000,-5,-50000,-0.016569
10000,-4,-40000,0.002608
10000,-3,-30000,0.004897
10000,-2,-20000,0.048571
10000,-1,-10000,0.013512
10000,0,0,0.829759
10000,1,10000,0.005192
10000,2,20000,0.024985
10000,3,30000,0.01156
10000,4,40000,-0.013612
10000,5,50000,-0.001065
10000,6,60000,-0.033447
10000,7,70000,-0.017864
10000,8,80000,0.00937
10000,9,90000,-0.005332
10000,10,100000,-0.000543
10000,11,110000,-0.009538
10000,12,120000,0.017984
10000,13,130000,-0.012404
10000,14,140000,0.009138
10000,15,150000,0.004842
10000,16,160000,0.00102
10000,17,170000,-0.014761
10000,18,180000,0.020159
10000,19,190000,-0.004894
10000,20,200000,0.012046
30000,-20,-600000,0.004432
30000,-19,-570000,-0.009581
30000,-18,-540000,-0.010936
30000,-17,-510000,-0.012037
30000,-16,-480000,0.006676
30000,-15,-450000,0.013455
30000,-14,-420000,-0.01554
30000,-13,-390000,-0.013556
30000,-12,-360000,0.01682
30000,-11,-330000,0.00098
30000,-10,-300000,0.00747
30000,-9,-270000,-0.01699
30000,-8,-240000,0.006654
30000,-7,-210000,-0.011638
30000,-6,-180000,0.031024
30000,-5,-150000,0.010715
30000,-4,-120000,-0.014744
30000,-3,-90000,-0.009245
30000,-2,-60000,-0.067225
30000,-1,-30000,0.026293
30000,0,0,0.863067
30000,1,30000,0.004284
30000,2,60000,-0.083885
30000,3,90000,0.00976
30000,4,120000,-0.002262
30000,5,150000,0.009935
30000,6,180000,0.020039
30000,7,210000,0.014679
30000,8,240000,0.015732
30000,9,270000,-0.024923
30000,10,300000,-0.005095
30000,11,330000,0.019058
30000,12,360000,0.020837
30000,13,390000,-0.010201
30000,14,420000,-0.012177
30000,15,450000,0.008356
30000,16,480000,0.012608
30000,17,510000,-0.027985
30000,18,540000,-0.024647
30000,19,570000,0.005063
30000,20,600000,-0.004508
