theta_ms,contrast,contrast_normalized
-500,9.167925385914324e-10,0.06851727233314746
-495,9.30253145707617e-10,0.06952326228695546
-490,9.460149508746583e-10,0.07070123423985926
-485,9.639923006584368e-10,0.07204478680940338
-480,9.840759199155107e-10,0.07354575322453848
-475,1.0061413256890154e-09,0.07519483014530777
-470,1.0300547500654687e-09,0.07698202031260228
-465,1.0556738972505862e-09,0.07889668912886753
-460,1.0828538279815002e-09,0.08092800443466983
-455,1.11144995602538e-09,0.08306516045457635
-450,1.141313769427448e-09,0.08529705802097624
-445,1.172296528894216e-09,0.08761258097590618
-440,1.2042483368114232e-09,0.09000052659331192
-435,1.237017739036528e-09,0.09244957581867058
-430,1.2704518664946995e-09,0.09494830385128779
-425,1.3043966331501588e-09,0.0974851949398547
-420,1.3387013853244633e-09,0.10004898985321561
-415,1.3732169799596484e-09,0.10262854225772469
-410,1.4078033634350504e-09,0.10521338512658542
-405,1.4423294848339145e-09,0.10779372425775666
-400,1.4766765210887787e-09,0.11036067930794363
-395,1.510743195337937e-09,0.1129066812645045
-390,1.5444452511431546e-09,0.11542543315066281
-385,1.5777202248457518e-09,0.11791226669160985
-380,1.610526548035763e-09,0.12036407523677188
-375,1.6428444305897713e-09,0.12277937975439565
-370,1.6746767944338345e-09,0.12515839861711733
-365,1.7060480674731797e-09,0.1275029574652694
-360,1.737004094893255e-09,0.12981648257788916
-355,1.7676088954737983e-09,0.13210375845308392
-350,1.7979455067798781e-09,0.1343709909741045
-345,1.8281124847149424e-09,0.13662554580045655
-340,1.858220893337153e-09,0.13887572339925683
-335,1.8883912415601115e-09,0.14113053010694926
-330,1.9187485198000566e-09,0.14339930718889976
-325,1.949417740402175e-09,0.14569139754935284
-320,1.9805186815640976e-09,0.14801575291407107
-315,2.0121607953806426e-09,0.15038055327871586
-310,2.0444384223806254e-09,0.1527928492631743
-305,2.077425791952887e-09,0.15525818846413403
-300,2.1111734565430025e-09,0.15778034896173285
-295,2.1457076070486737e-09,0.16036128815504958
-290,2.1810310616214155e-09,0.1630012166610414
-285,2.2171267186873815e-09,0.16569885637900036
-280,2.253960304530451e-09,0.1684516458335191
-275,2.291490348015304e-09,0.1712564856439274
-270,2.3296769460003998e-09,0.17411039361490757
-265,2.3684905974874316e-09,0.1770111649641888
-260,2.4079249550638525e-09,0.1799583253124805
-255,2.4480061531601084e-09,0.1829538278387329
-250,2.4888029530158844e-09,0.18600281147284256
-245,2.530430231886298e-09,0.1891138616644531
-240,2.573064138017143e-09,0.19230014300295642
-235,2.616934502696436e-09,0.1955788321256928
