Sampling Δ,Correlation,95% CI,N,Lead-Lag (ms),Peak CCF,Significant
100ms,0.4374,"[0.4174, 0.4547]","6,047,974",—,—,—
250ms,0.5837,"[0.5727, 0.5931]","2,419,189",—,—,—
500ms,0.6600,"[0.6507, 0.6687]","1,209,594",+0,0.6600,Yes
1s,0.7188,"[0.7104, 0.7260]","604,797",+0,0.7188,Yes
2s,0.7632,"[0.7552, 0.7702]","302,398",+0,0.7632,Yes
5s,0.8077,"[0.7969, 0.8191]","120,959",+0,0.8077,Yes
10s,0.8298,"[0.8194, 0.8416]","60,479",+0,0.8298,Yes
30s,0.8631,"[0.8431, 0.8805]","20,159",+0,0.8631,Yes
1min,0.8828,"[0.8477, 0.9140]","10,079",—,—,—
5min,0.8597,"[0.8363, 0.8806]","2,015",—,—,—
